,Name,Model Idx,Epoch,KL,Rho,A-Norm,B-Norm
20,Gaussian,0,5,0.06725160777568817,0.7739248275756836,11.056061744689941,6.078599452972412
21,Bimodal,1,5,0.02071998454630375,0.7739254236221313,11.056050300598145,12.890321731567383
22,Soft Trimodal,2,5,0.037929218262434006,0.7739259004592896,11.056057929992676,8.760007858276367
23,Edgy Trimodal,3,5,0.036563292145729065,0.7739247679710388,11.056055068969727,10.761152267456055
24,Gaussian,0,6,0.05650322884321213,0.7880383729934692,11.257644653320312,6.733855724334717
25,Bimodal,1,6,0.018451755866408348,0.7880356311798096,11.257634162902832,13.322564125061035
26,Soft Trimodal,2,6,0.0328788161277771,0.7880357503890991,11.257640838623047,9.262533187866211
27,Edgy Trimodal,3,6,0.031729575246572495,0.7880353331565857,11.257637023925781,11.300251960754395
28,Gaussian,0,7,0.04963674396276474,0.8016932606697083,11.452741622924805,7.2173542976379395
29,Bimodal,1,7,0.017210735008120537,0.8016932010650635,11.452730178833008,13.62955379486084
30,Soft Trimodal,2,7,0.03057611733675003,0.8016935586929321,11.452736854553223,9.601466178894043
31,Edgy Trimodal,3,7,0.02915426716208458,0.8016909956932068,11.452733039855957,11.682134628295898
32,Gaussian,0,8,0.04598478227853775,0.8150636553764343,11.643714904785156,7.556410312652588
33,Bimodal,1,8,0.01645742543041706,0.8150608539581299,11.643701553344727,13.859619140625
34,Soft Trimodal,2,8,0.029474133625626564,0.8150615692138672,11.643710136413574,9.839493751525879
35,Edgy Trimodal,3,8,0.027667438611388206,0.8150615692138672,11.643706321716309,11.965055465698242
36,Gaussian,0,9,0.04441835358738899,0.8284290432929993,11.834688186645508,7.786322116851807
37,Bimodal,1,9,0.015974711626768112,0.8284289836883545,11.834675788879395,14.039461135864258
38,Soft Trimodal,2,9,0.028972197324037552,0.8284320831298828,11.834683418273926,10.012228012084961
39,Edgy Trimodal,3,9,0.026770979166030884,0.8284295201301575,11.83467960357666,12.1825532913208
40,Gaussian,0,10,0.04402494430541992,0.8416330814361572,12.023332595825195,7.939741134643555
41,Bimodal,1,10,0.015653153881430626,0.8416341543197632,12.023321151733398,14.185063362121582
42,Soft Trimodal,2,10,0.028791839256882668,0.8416336178779602,12.02332878112793,10.141721725463867
43,Edgy Trimodal,3,10,0.02621653489768505,0.8416342735290527,12.023324012756348,12.355281829833984
44,Gaussian,0,11,0.0443270243704319,0.8542594313621521,12.203697204589844,8.040644645690918
45,Bimodal,1,11,0.015431458130478859,0.8542588353157043,12.203685760498047,14.306108474731445
46,Soft Trimodal,2,11,0.028788011521100998,0.8542600870132446,12.203692436218262,10.241800308227539
47,Edgy Trimodal,3,11,0.02586708590388298,0.8542595505714417,12.203688621520996,12.496150016784668
48,Gaussian,0,12,0.045072946697473526,0.8668863773345947,12.384060859680176,8.106866836547852
49,Bimodal,1,12,0.015283501707017422,0.8668844103813171,12.384048461914062,14.409280776977539
50,Soft Trimodal,2,12,0.02891247346997261,0.8668854832649231,12.384056091308594,10.321662902832031
51,Edgy Trimodal,3,12,0.025664502754807472,0.8668850064277649,12.384051322937012,12.613968849182129
52,Gaussian,0,13,0.04607820883393288,0.8795118927955627,12.564423561096191,8.151148796081543
53,Bimodal,1,13,0.015187341719865799,0.8795101642608643,12.564412117004395,14.499370574951172
54,Soft Trimodal,2,13,0.029123753309249878,0.8795115947723389,12.56441879272461,10.387504577636719
55,Edgy Trimodal,3,13,0.025563647970557213,0.8795073628425598,12.564414978027344,12.71489143371582
56,Gaussian,0,14,0.047233209013938904,0.8919941186904907,12.742748260498047,8.1814546585083
57,Bimodal,1,14,0.015126959420740604,0.891991138458252,12.742732048034668,14.579728126525879
58,Soft Trimodal,2,14,0.029390577226877213,0.8919912576675415,12.742741584777832,10.44345760345459
59,Edgy Trimodal,3,14,0.02553233690559864,0.8919927477836609,12.742735862731934,12.803211212158203
60,Gaussian,0,15,0.04844007268548012,0.903877317905426,12.91250228881836,8.2025146484375
61,Bimodal,1,15,0.015088423155248165,0.9038752317428589,12.91248607635498,14.652382850646973
62,Soft Trimodal,2,15,0.02967935800552368,0.9038748741149902,12.912494659423828,10.49205493927002
63,Edgy Trimodal,3,15,0.025541579350829124,0.9038769602775574,12.91248893737793,12.881627082824707
64,Gaussian,0,0,0.19357682764530182,0.700001060962677,10.0,0.0
65,Bimodal,1,0,0.4740644097328186,0.700001060962677,10.0,0.0
66,Soft Trimodal,2,0,0.33751317858695984,0.700001060962677,10.0,0.0
