,Name,Model Idx,Epoch,KL,Rho,A-norm,B-norm,MC,DeltaPhi,MSE,NRMSE
14,Soft Trimodal,2,4,0.024815525859594345,0.7598131895065308,10.854472160339355,2.1306960582733154,11.212329864501953,0.15232645382390336,2.45745544165867e-07,0.07222309893771005
15,Edgy Trimodal,3,4,0.010319496504962444,0.759811520576477,10.854466438293457,4.215317249298096,9.00290298461914,0.6069913054050329,2.45745544165867e-07,0.07222309893771005
16,Gaussian,0,5,0.05151696130633354,0.7739250063896179,11.056061744689941,6.117672443389893,13.457088470458984,0.1413215989897191,2.45745544165867e-07,0.07222309893771005
17,Bimodal,1,5,0.016537265852093697,0.7739232778549194,11.056048393249512,5.284267902374268,8.870272636413574,0.9284584641000037,2.45745544165867e-07,0.07222309893771005
18,Soft Trimodal,2,5,0.024484355002641678,0.7739248275756836,11.056055068969727,2.3797483444213867,11.3420991897583,0.15348550845819045,2.45745544165867e-07,0.07222309893771005
19,Edgy Trimodal,3,5,0.010108940303325653,0.773922324180603,11.056049346923828,4.4257073402404785,8.887435913085938,0.6021348190969076,2.45745544165867e-07,0.07222309893771005
20,Gaussian,0,6,0.04464435577392578,0.7880352735519409,11.257643699645996,6.678451061248779,13.796555519104004,0.11061562830821528,2.45745544165867e-07,0.07222309893771005
21,Bimodal,1,6,0.01583639159798622,0.788033127784729,11.257631301879883,5.550363063812256,8.780448913574219,0.9481682087671643,2.45745544165867e-07,0.07222309893771005
22,Soft Trimodal,2,6,0.02434506081044674,0.7880361080169678,11.257637977600098,2.589094400405884,11.460070610046387,0.15791091103653693,2.45745544165867e-07,0.07222309893771005
23,Edgy Trimodal,3,6,0.010022357106208801,0.7880348563194275,11.2576322555542,4.581127166748047,8.820377349853516,0.6006099484809547,2.45745544165867e-07,0.07222309893771005
24,Gaussian,0,7,0.041005246341228485,0.8016929030418396,11.452740669250488,7.069040298461914,14.064173698425293,0.10406499238843386,2.45745544165867e-07,0.07222309893771005
25,Bimodal,1,7,0.015384356491267681,0.8016915321350098,11.452727317810059,5.76288366317749,8.764559745788574,0.960201659384621,2.45745544165867e-07,0.07222309893771005
26,Soft Trimodal,2,7,0.0243140310049057,0.8016901612281799,11.452733993530273,2.77168607711792,11.559038162231445,0.16426278106726055,2.45745544165867e-07,0.07222309893771005
27,Edgy Trimodal,3,7,0.009995678439736366,0.8016909956932068,11.452729225158691,4.702184200286865,8.782334327697754,0.6016265299396197,2.45745544165867e-07,0.07222309893771005
28,Gaussian,0,8,0.03950716555118561,0.8150606155395508,11.64371395111084,7.329066753387451,14.183948516845703,0.10017566475933683,2.45745544165867e-07,0.07222309893771005
29,Bimodal,1,8,0.015084168873727322,0.8150601983070374,11.643701553344727,5.938226699829102,8.723047256469727,0.9679828584726944,2.45745544165867e-07,0.07222309893771005
30,Soft Trimodal,2,8,0.024356624111533165,0.8150599002838135,11.643708229064941,2.934917449951172,11.629575729370117,0.17183659376441918,2.45745544165867e-07,0.07222309893771005
31,Edgy Trimodal,3,8,0.010002543218433857,0.8150603771209717,11.64370346069336,4.80058479309082,8.761567115783691,0.6042398200991129,2.45745544165867e-07,0.07222309893771005
32,Gaussian,0,9,0.03925979137420654,0.8284275531768799,11.834687232971191,7.4971394538879395,14.270678520202637,0.09729127562237543,2.45745544165867e-07,0.07222309893771005
33,Bimodal,1,9,0.014883703552186489,0.8284263610839844,11.834672927856445,6.087096691131592,8.695745468139648,0.9731807640675311,2.45745544165867e-07,0.07222309893771005
34,Soft Trimodal,2,9,0.024457182735204697,0.8284265995025635,11.834681510925293,3.083113193511963,11.677338600158691,0.1803142314200074,2.45745544165867e-07,0.07222309893771005
35,Edgy Trimodal,3,9,0.010030480101704597,0.8284265995025635,11.834674835205078,4.883857250213623,8.74641227722168,0.6078257257435963,2.45745544165867e-07,0.07222309893771005
36,Gaussian,0,10,0.03967142105102539,0.8416354656219482,12.023332595825195,7.6045451164245605,14.300492286682129,0.0956298540330431,2.45745544165867e-07,0.07222309893771005
