,Name,N,Model Index,p,Tau,Lambda,MSE,NRMSE
91,Vanilla,100,0,5,10,0.2,9.916678391164169e-05,22.511660118893804
92,Vanilla,100,0,10,1,0.2,2.3212678001982567e-07,22.201493441549292
93,Vanilla,100,0,10,2,0.2,6.525798568191021e-08,23.15253454715123
94,Vanilla,100,0,10,5,0.2,5.245700549494359e-07,22.536297490711373
95,Vanilla,100,0,10,10,0.2,1.0729984722956942e-07,22.521214635151857
96,Gaussian,100,1,1,1,0.2,0.046177130192518234,22.556126420804794
97,Gaussian,100,1,1,2,0.2,0.04279719293117523,22.609117866324624
98,Gaussian,100,1,1,5,0.2,0.045634929090738297,22.40948522559525
99,Gaussian,100,1,1,10,0.05,0.050292350351810455,22.546443900721005
100,Gaussian,100,1,2,1,0.2,0.006098693236708641,22.23646871181403
101,Gaussian,100,1,2,2,0.2,0.008356871083378792,22.39861462259929
102,Gaussian,100,1,2,5,0.1,0.006820919923484325,22.540357550532764
103,Gaussian,100,1,2,10,0.2,0.005087668541818857,22.44855365129692
104,Gaussian,100,1,5,1,0.2,0.0001610780309420079,22.49930215389156
105,Gaussian,100,1,5,2,0.2,0.0001268202904611826,22.32960585427835
106,Gaussian,100,1,5,5,0.2,6.906445196364075e-05,22.573565445750784
107,Gaussian,100,1,5,10,0.2,9.834767843130976e-05,22.44568231943855
108,Gaussian,100,1,10,1,0.2,2.7458685281089856e-07,22.433098236408966
109,Gaussian,100,1,10,2,0.2,3.348961854499066e-07,22.15065161992983
110,Gaussian,100,1,10,5,0.15,3.96036654137788e-07,22.99729173720449
111,Gaussian,100,1,10,10,0.1,4.346386504039401e-07,22.449200737877756
112,Hard Bimodal,100,2,1,1,0.2,0.04230470210313797,22.347294708992113
113,Hard Bimodal,100,2,1,2,0.0,4.8858537411433645e-06,0.23167102607792261
114,Hard Bimodal,100,2,1,5,0.0,0.0007628014427609742,2.9663016412598564
115,Hard Bimodal,100,2,1,10,0.0,0.05371583625674248,22.465299168897058
116,Hard Bimodal,100,2,2,1,0.2,0.005980599671602249,22.40442482977693
117,Hard Bimodal,100,2,2,2,0.0,0.00013582149404101074,3.563983809000865
118,Hard Bimodal,100,2,2,5,0.0,0.000855489051900804,8.411681962165307
119,Hard Bimodal,100,2,2,10,0.2,0.005749076139181852,22.313799310033186
120,Hard Bimodal,100,2,5,1,0.2,0.0001052882507792674,22.329364632750835
121,Hard Bimodal,100,2,5,2,0.0,1.3874533578928094e-05,10.40076418783341
122,Hard Bimodal,100,2,5,5,0.0,4.11499640904367e-05,17.61198908198129
123,Hard Bimodal,100,2,5,10,0.2,6.306308932835236e-05,22.30947231405621
124,Hard Bimodal,100,2,10,1,0.2,4.009401664006873e-07,22.319073048146862
125,Hard Bimodal,100,2,10,2,0.0,2.5793281110964017e-07,16.789630523487833
126,Hard Bimodal,100,2,10,5,0.0,1.5002412112608e-07,20.991392278852956
127,Hard Bimodal,100,2,10,10,0.05,4.4515829245028726e-07,22.326957058108242
128,Soft Trimodal,100,3,1,1,0.2,0.05027928948402405,22.381684226580433
129,Soft Trimodal,100,3,1,2,0.0,3.766454028664157e-05,0.6561125656813087
130,Soft Trimodal,100,3,1,5,0.0,0.0009991968981921673,3.2646883118545285
131,Soft Trimodal,100,3,1,10,0.0,0.03980399668216705,20.036082715833032
132,Soft Trimodal,100,3,2,1,0.2,0.007529859431087971,22.350636094704118
133,Soft Trimodal,100,3,2,2,0.0,0.0005816089105792344,6.650569013760184
134,Soft Trimodal,100,3,2,5,0.0,0.0010078003397211432,8.013307470617383
135,Soft Trimodal,100,3,2,10,0.0,0.003886381397023797,20.46325143822037
136,Soft Trimodal,100,3,5,1,0.2,9.248328569810838e-05,22.55542286967988
137,Soft Trimodal,100,3,5,2,0.0,3.075101994909346e-05,14.038491332461675
138,Soft Trimodal,100,3,5,5,0.0,7.140251545934007e-05,16.60742084135743
139,Soft Trimodal,100,3,5,10,0.0,9.612677968107164e-05,21.68888248137777
140,Soft Trimodal,100,3,10,1,0.1,5.019516606807883e-07,22.256911672276097
141,Soft Trimodal,100,3,10,2,0.0,1.3275493415676465e-07,20.52969962991498
142,Soft Trimodal,100,3,10,5,0.0,1.0702525088390757e-07,20.770380880567117
143,Soft Trimodal,100,3,10,10,0.0,2.486742118890106e-07,22.062918424015567
144,Edgy trimodal,100,4,1,1,0.2,0.04319191724061966,22.36193261490244
145,Edgy trimodal,100,4,1,2,0.0,5.4328879741660785e-06,0.24057445645519188
146,Edgy trimodal,100,4,1,5,0.0,0.0007186919683590531,2.5879523503841577
147,Edgy trimodal,100,4,1,10,0.0,0.05264446511864662,22.300680326339332
148,Edgy trimodal,100,4,2,1,0.2,0.005092446226626635,22.338059262200073
149,Edgy trimodal,100,4,2,2,0.0,0.00025342663866467774,4.302538659089987
150,Edgy trimodal,100,4,2,5,0.0,0.0010021035559475422,7.729991063437287
151,Edgy trimodal,100,4,2,10,0.2,0.006812733132392168,22.373067250236247
152,Edgy trimodal,100,4,5,1,0.2,8.470795000903308e-05,22.487802547775413
153,Edgy trimodal,100,4,5,2,0.0,2.9207372790551744e-05,10.659807344166502
154,Edgy trimodal,100,4,5,5,0.0,3.7778565456392244e-05,18.744458816624313
155,Edgy trimodal,100,4,5,10,0.2,7.709713827352971e-05,22.37889499966989
156,Edgy trimodal,100,4,10,1,0.2,2.6587599677441176e-07,22.164739921794283
157,Edgy trimodal,100,4,10,2,0.0,1.2634512813747278e-07,16.25147416690733
158,Edgy trimodal,100,4,10,5,0.0,2.966688441574661e-07,19.839190390280468
159,Edgy trimodal,100,4,10,10,0.2,1.52530148511687e-07,22.355858825554545
160,Vanilla,150,0,1,1,0.05,0.0416460782289505,22.44921841014877
161,Vanilla,150,0,1,2,0.2,0.05118996277451515,22.415490026212552
162,Vanilla,150,0,1,5,0.0,0.052468813955783844,23.20330255613883
163,Vanilla,150,0,1,10,0.2,0.053706251084804535,22.314101559730535
164,Vanilla,150,0,2,1,0.2,0.006360823288559914,22.3960836801657
165,Vanilla,150,0,2,2,0.2,0.005620573181658983,22.44324778943303
166,Vanilla,150,0,2,5,0.0,0.012108982540667057,36.15480665064208
167,Vanilla,150,0,2,10,0.2,0.005142982583492994,22.32639595955802
168,Vanilla,150,0,5,1,0.15,7.129836012609303e-05,22.39214942145775
169,Vanilla,150,0,5,2,0.2,8.181509474525228e-05,22.439588359246297
170,Vanilla,150,0,5,5,0.2,7.692041981499642e-05,22.431797673726464
171,Vanilla,150,0,5,10,0.2,7.08410152583383e-05,22.32605696992236
172,Vanilla,150,0,10,1,0.05,7.307460236916086e-07,22.363467862212666
173,Vanilla,150,0,10,2,0.2,4.2263798150088405e-07,22.907632866681958
174,Vanilla,150,0,10,5,0.2,1.0388429672048005e-07,22.403927649434458
175,Vanilla,150,0,10,10,0.2,4.740110739476222e-07,22.306605653073234
176,Gaussian,150,1,1,1,0.2,0.04974234104156494,22.49734481403618
177,Gaussian,150,1,1,2,0.2,0.04515766724944115,22.192137499503623
178,Gaussian,150,1,1,5,0.2,0.04579589143395424,22.68619115327579
179,Gaussian,150,1,1,10,0.2,0.0434190034866333,22.59964507507875
180,Gaussian,150,1,2,1,0.2,0.00763891963288188,22.479081666047396
181,Gaussian,150,1,2,2,0.2,0.006205412559211254,22.271843292868898
182,Gaussian,150,1,2,5,0.2,0.008106826804578304,22.338570886866915
183,Gaussian,150,1,2,10,0.2,0.006118405144661665,22.721538472270645
184,Gaussian,150,1,5,1,0.2,8.359386993106455e-05,22.4812143528613
185,Gaussian,150,1,5,2,0.2,0.00011350931890774518,23.066642740637803
186,Gaussian,150,1,5,5,0.2,7.770165393594652e-05,22.799522742914764
187,Gaussian,150,1,5,10,0.2,9.890570800052956e-05,22.208433951411763
188,Gaussian,150,1,10,1,0.2,9.071410289607229e-08,22.913930648700095
189,Gaussian,150,1,10,2,0.2,2.3273940996659803e-07,22.775726192885294
190,Gaussian,150,1,10,5,0.2,5.508125511255457e-08,22.773043521463457
191,Gaussian,150,1,10,10,0.2,1.2238580211487715e-06,22.43904299730195
192,Hard Bimodal,150,2,1,1,0.2,0.050654031336307526,22.40867969741301
193,Hard Bimodal,150,2,1,2,0.0,1.1821497309938422e-06,0.10969806964599652
194,Hard Bimodal,150,2,1,5,0.0,0.00043815994285978377,2.179079798273214
195,Hard Bimodal,150,2,1,10,0.0,0.04285798594355583,22.118149898480223
196,Hard Bimodal,150,2,2,1,0.2,0.005823844578117132,22.391840729381762
197,Hard Bimodal,150,2,2,2,0.0,9.244330431101844e-05,2.7120214927969464
198,Hard Bimodal,150,2,2,5,0.0,0.0007930020801723003,7.444853409245628
199,Hard Bimodal,150,2,2,10,0.2,0.00707631278783083,22.27481101627008
200,Hard Bimodal,150,2,5,1,0.2,6.743554695276543e-05,22.43852414314846
201,Hard Bimodal,150,2,5,2,0.0,1.3416254660114646e-05,7.971334838511428
202,Hard Bimodal,150,2,5,5,0.0,4.5445183786796406e-05,14.375605562143123
203,Hard Bimodal,150,2,5,10,0.0,5.015434362576343e-05,22.324500011898362
204,Hard Bimodal,150,2,10,1,0.2,2.88943738269154e-07,22.460597144160385
205,Hard Bimodal,150,2,10,2,0.0,2.101996443570897e-07,15.773995664034663
206,Hard Bimodal,150,2,10,5,0.0,1.472803035085235e-07,19.85696917592198
207,Hard Bimodal,150,2,10,10,0.2,2.167035972888698e-07,22.34575561912045
208,Soft Trimodal,150,3,1,1,0.05,0.04988721385598183,22.40700794677757
209,Soft Trimodal,150,3,1,2,0.0,2.1894689780310728e-05,0.5183932237993168
210,Soft Trimodal,150,3,1,5,0.0,0.0006074518896639347,2.7322794704671645
211,Soft Trimodal,150,3,1,10,0.0,0.030034873634576797,17.434398525705582
212,Soft Trimodal,150,3,2,1,0.2,0.006149868480861187,22.382979520537404
213,Soft Trimodal,150,3,2,2,0.0,0.00041463004890829325,5.069573252999635
214,Soft Trimodal,150,3,2,5,0.0,0.0013017446035519242,8.88752228510084
215,Soft Trimodal,150,3,2,10,0.0,0.0040842690505087376,18.155280134917877
216,Soft Trimodal,150,3,5,1,0.2,9.909485379466787e-05,22.551519791842743
217,Soft Trimodal,150,3,5,2,0.0,3.111142723355442e-05,12.752987380758638
218,Soft Trimodal,150,3,5,5,0.0,5.164526737644337e-05,16.46919287533071
219,Soft Trimodal,150,3,5,10,0.0,6.419314013328403e-05,20.902701083775185
220,Soft Trimodal,150,3,10,1,0.2,2.1616071421703964e-07,22.302240315620832
221,Soft Trimodal,150,3,10,2,0.0,2.4393563080593594e-07,17.632340870686402
222,Soft Trimodal,150,3,10,5,0.0,1.6916416711865168e-07,19.89916981254534
223,Soft Trimodal,150,3,10,10,0.0,3.3844594327092636e-07,21.540027351893322
224,Edgy trimodal,150,4,1,1,0.2,0.04245569556951523,22.34416315723786
225,Edgy trimodal,150,4,1,2,0.0,9.896064057102194e-07,0.10499353549278424
226,Edgy trimodal,150,4,1,5,0.0,0.000452731444966048,2.074860152162428
227,Edgy trimodal,150,4,1,10,0.0,0.042394813150167465,21.93620831199918
228,Edgy trimodal,150,4,2,1,0.2,0.005583522841334343,22.439165398891916
229,Edgy trimodal,150,4,2,2,0.0,0.0001880333002191037,3.3837476323221276
230,Edgy trimodal,150,4,2,5,0.0,0.00079404964344576,7.826776018998021
231,Edgy trimodal,150,4,2,10,0.05,0.005073143169283867,22.259925257307973
232,Edgy trimodal,150,4,5,1,0.2,0.00010937859769910574,22.385606691865437
233,Edgy trimodal,150,4,5,2,0.0,2.1573710910161026e-05,9.240293203878995
234,Edgy trimodal,150,4,5,5,0.0,4.6299839596031234e-05,16.19384735443285
235,Edgy trimodal,150,4,5,10,0.2,9.177189349429682e-05,22.420453324920125
236,Edgy trimodal,150,4,10,1,0.05,2.5870596687127545e-07,22.507527766335063
237,Edgy trimodal,150,4,10,2,0.0,2.3562587614378572e-07,16.102381256475894
238,Edgy trimodal,150,4,10,5,0.05,3.4501775303397153e-07,21.71078077151958
239,Edgy trimodal,150,4,10,10,0.2,4.753842688387522e-07,22.37934364481354
240,Vanilla,200,0,1,1,0.2,0.04798201099038124,22.628624051515896
241,Vanilla,200,0,1,2,0.2,0.05603213980793953,22.421741615456916
