,Name,N,Model Index,DeltaPhi,MC,MLLE,Neff,Rho,KL
38,Soft Trimodal,150,3,0.06800623193218919,13.245580673217773,-0.1383051872253418,2.1969204647610856,0.8198599815368652,0.02946576662361622
39,Edgy trimodal,150,4,0.05294055496244794,9.994278907775879,-1.3112921714782715,1.4018901914474018,0.8198620676994324,0.010784395970404148
40,Vanilla,200,0,0.04929413581471732,19.087820053100586,-0.3222401738166809,2.982822214682258,0.7499987483024597,0.0
41,Gaussian,200,1,0.04555726083223233,19.00857925415039,-0.17960768938064575,3.572363819173496,0.8198597431182861,0.0542486235499382
42,Bimodal,200,2,0.0654643485669828,9.920641899108887,-0.9057187438011169,1.3120429945175882,0.819861650466919,0.01841128058731556
43,Soft Trimodal,200,3,0.04976400545488072,13.24209213256836,-0.2230374664068222,1.9130695089794305,0.8198622465133667,0.02817491814494133
44,Edgy trimodal,200,4,0.06284145743880665,10.930253028869629,-0.1365470588207245,1.4112157713670737,0.8198606371879578,0.011817777529358864
45,Vanilla,250,0,0.045207800000275314,18.784053802490234,-0.2994387745857239,2.8205226015220677,0.7499995231628418,0.0
46,Gaussian,250,1,0.04867939609307355,19.674253463745117,-0.1414961814880371,3.4580728905692606,0.8198636770248413,0.051849115639925
47,Bimodal,250,2,0.05478883703621157,10.205002784729004,-1.022118091583252,1.2688976879911342,0.819859504699707,0.01889604516327381
48,Soft Trimodal,250,3,0.05775565901521449,13.887431144714355,-0.5663821697235107,2.111800575509581,0.8198656439781189,0.029343977570533752
49,Edgy trimodal,250,4,0.3201661981650408,11.484601020812988,-0.13746613264083862,1.460261512005748,0.8198583722114563,0.011218965984880924
50,Vanilla,50,0,0.06418894388432578,14.376471519470215,-0.3185652792453766,2.8162363373055155,0.749999463558197,0.0
51,Gaussian,50,1,0.059248325211437546,14.414344787597656,-0.13411904871463776,3.013145165846299,0.8198609948158264,0.050686635076999664
52,Bimodal,50,2,0.07714032472156548,7.276093482971191,-0.8956797122955322,1.3653037746866983,0.8198574781417847,0.017228007316589355
53,Soft Trimodal,50,3,0.07431346283869862,9.93232250213623,-0.7652798295021057,1.9890072584052798,0.8198596835136414,0.02629866823554039
54,Edgy trimodal,50,4,0.054334478551789765,8.529580116271973,-1.3134353160858154,1.3146499115653356,0.8198596835136414,0.010798804461956024
55,Vanilla,100,0,0.05519902683195008,16.111679077148438,-0.31724897027015686,3.079640687664957,0.75,0.0
56,Gaussian,100,1,0.047759782452066,16.781204223632812,-0.16259954869747162,3.745766266594013,0.8198618292808533,0.05190539360046387
57,Bimodal,100,2,0.08461670786422505,8.612123489379883,-1.1161065101623535,1.303092622191007,0.8198621273040771,0.018914934247732162
58,Soft Trimodal,100,3,0.046313036319187935,11.757871627807617,-0.4931510388851166,1.7874742217864568,0.819861114025116,0.028482802212238312
59,Edgy trimodal,100,4,0.050729913991251215,9.3206205368042,-1.097819447517395,1.3989231744598682,0.8198615908622742,0.011399994604289532
60,Vanilla,150,0,0.04357842188560346,17.386577606201172,-0.31338950991630554,2.743390437200036,0.7500015497207642,0.0
61,Gaussian,150,1,0.06492487099820184,18.60748291015625,-0.17568454146385193,3.781532067972025,0.8198599219322205,0.052577633410692215
62,Bimodal,150,2,0.04558771897546131,9.417448997497559,-0.8481366634368896,1.2967467082259496,0.8198599219322205,0.017613636329770088
63,Soft Trimodal,150,3,0.05234099661358009,13.094331741333008,-0.5273794531822205,1.9972399223714186,0.8198592662811279,0.030129825696349144
64,Edgy trimodal,150,4,0.12313373610899937,10.32475757598877,-1.2823959589004517,1.4785900656501532,0.8198626637458801,0.010946867056190968
65,Vanilla,200,0,0.04667889419833433,18.919689178466797,-0.28994321823120117,2.8326997076725227,0.749999463558197,0.0
66,Gaussian,200,1,0.053874290818381534,19.750654220581055,-0.12999200820922852,3.5481413402389994,0.8198603987693787,0.05183602496981621
67,Bimodal,200,2,0.08618524358513663,10.329965591430664,-0.9760047197341919,1.2538685625633754,0.8198626041412354,0.018614651635289192
68,Soft Trimodal,200,3,0.05253488862977095,12.389759063720703,-0.6311584711074829,2.0319166497267003,0.8198585510253906,0.028100306168198586
69,Edgy trimodal,200,4,0.06102172543187968,10.835770606994629,-1.0407499074935913,1.3423667702210271,0.8198590874671936,0.010770177468657494
70,Vanilla,250,0,0.04371552457495534,19.018552780151367,-0.34755611419677734,2.603921972607096,0.7499986886978149,0.0
71,Gaussian,250,1,0.048449159137382465,20.13192367553711,-0.16606655716896057,3.402098635380431,0.8198630213737488,0.05139679089188576
72,Bimodal,250,2,0.3759491447314687,10.110596656799316,-1.070286512374878,1.2720938444971468,0.819858193397522,0.01879340596497059
73,Soft Trimodal,250,3,0.08897301931710624,13.473892211914062,-0.5722713470458984,2.0497568351673134,0.8198594450950623,0.029495835304260254
74,Edgy trimodal,250,4,0.04425824203988361,11.135499954223633,-0.14019876718521118,1.379700502791042,0.8198606967926025,0.011123860254883766
75,Vanilla,50,0,0.0498776877541194,14.038597106933594,-0.3611569404602051,3.158865672561234,0.75,0.0
76,Gaussian,50,1,0.04532562103827811,13.374984741210938,-0.15451636910438538,3.049728429384905,0.8198603987693787,0.055398281663656235
