,Model Name,N,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
5,Hard Bimodal,100,2.0,Std,1.4478462105276934e-07,0.00929761670429226,0.06823508652394625,0.04145250589567108,1.9978139691451843e-06,0.0003421338406338228
8,Soft Trimodal,100,3.0,Mean,4.1265933941758706e-05,0.4634771260002929,0.1492421634514221,2.9006842858344113,0.9096950232982636,0.028660246916115285
9,Soft Trimodal,100,3.0,Std,1.5168173667171382e-05,0.08925682471706631,0.1591471741565093,0.25107169946667507,1.3262401800719732e-06,0.0013643530446688721
10,Edgy trimodal,100,4.0,Mean,3.8391644193325194e-05,0.4487498200345067,0.07775288412111889,3.4201497176172957,0.9096955358982086,0.03655765391886234
11,Edgy trimodal,100,4.0,Std,1.3246548284274874e-05,0.07670927903675048,0.03502347687861406,0.3826218436144794,1.5593764386622632e-06,0.002939978737872077
0,Vanilla,150,0.0,Mean,7.052862770251522e-06,0.18207413964717412,0.049810354871233024,3.1765813518484065,0.8000005260109901,0.0
1,Vanilla,150,0.0,Std,4.2302327723334816e-06,0.05191937148778879,0.005388498377335594,0.30809177232067037,1.2986898428259562e-06,0.0
2,Gaussian,150,1.0,Mean,4.597877159540076e-05,0.4810255324525783,0.06497341431243951,4.869992969474069,0.9096969291567802,0.062367820646613836
3,Gaussian,150,1.0,Std,9.206758579094323e-06,0.048004137540629294,0.017175565640510548,0.2477124794370716,1.481879088035636e-06,0.0030007653108018962
4,Hard Bimodal,150,2.0,Mean,1.1474792138699286e-07,0.023820480978828197,0.09690958094885391,1.2880899597036477,0.9096947461366653,0.016169089125469327
5,Hard Bimodal,150,2.0,Std,4.110979869025586e-08,0.003974683951897445,0.06702569871123029,0.0469511148205729,2.365063559963339e-06,0.0002622131976619931
6,Soft Trimodal,150,3.0,Mean,1.4443765280702792e-05,0.2620828316963452,0.08354742600096433,2.2812907890200265,0.9096951112151146,0.02850886690430343
7,Soft Trimodal,150,3.0,Std,8.43299623538209e-06,0.06873079203225933,0.05419978582271284,0.1496049033236216,1.532412552329137e-06,0.0013025783599295625
8,Edgy trimodal,150,4.0,Mean,4.792737335890251e-07,0.04767989175277559,0.09504020374100816,1.505947085468377,0.9096947535872459,0.010829705046489835
9,Edgy trimodal,150,4.0,Std,2.2594086492318728e-07,0.0127501566274049,0.05391448892942261,0.07587953831834778,1.4437794983601072e-06,0.00041467659531508894
0,Vanilla,200,0.0,Mean,3.821118184532679e-06,0.13527569636950304,0.049696409442728066,3.32437621890383,0.7999988421797752,0.0
1,Vanilla,200,0.0,Std,1.9079817744573905e-06,0.03348965018424947,0.005081433644076503,0.2635225953660809,1.336107447941976e-06,0.0
2,Gaussian,200,1.0,Mean,3.44159295764257e-05,0.39956796060612515,0.07925949901296958,4.993961016576023,0.9096947535872459,0.06252219155430794
3,Gaussian,200,1.0,Std,2.0426458215036837e-05,0.12355785858965011,0.04931932829285544,0.746024063849271,1.5577059836405298e-06,0.004039879689511942
4,Hard Bimodal,200,2.0,Mean,5.573275219106222e-08,0.016675784099273894,0.10054070177451398,1.2945034636188184,0.9096950218081474,0.0163033795543015
5,Hard Bimodal,200,2.0,Std,1.497419194616707e-08,0.002276708546520975,0.03813917637828737,0.02734939839821986,9.520139527090695e-07,0.00028711119433906713
6,Soft Trimodal,200,3.0,Mean,1.171454249515591e-05,0.24179393016684908,0.13354692216349254,2.395828573997522,0.9096952304244041,0.028478275518864393
7,Soft Trimodal,200,3.0,Std,3.08735431075869e-06,0.03279610220626752,0.10657764204853575,0.13547670240148244,1.294236836287395e-06,0.0007890817557432678
8,Edgy trimodal,200,4.0,Mean,1.4754057264809717e-07,0.026853570557374307,0.07093685673464122,1.5007852621562536,0.9096957966685295,0.01092885248363018
9,Edgy trimodal,200,4.0,Std,5.688677042561444e-08,0.005363754597900552,0.03647846315752735,0.02705748788746537,2.1145871329479543e-06,0.00048083774548202823
0,Vanilla,250,0.0,Mean,3.1686451151813344e-06,0.1223459278387351,0.0552568985462545,3.3868038037879358,0.8000002801418304,0.0
1,Vanilla,250,0.0,Std,1.4867078671612593e-06,0.03370918614527278,0.014360783758057383,0.2646928903032149,2.2307988895415475e-06,0.0
2,Gaussian,250,1.0,Mean,3.020554845534207e-05,0.38733648037141927,0.08074206374652802,5.218768828762433,0.9096946939826012,0.06406207382678986
3,Gaussian,250,1.0,Std,8.908591343637706e-06,0.05909339050277564,0.05242877995609092,0.3783688358441846,2.754569427033368e-06,0.0015464921004446864
4,Hard Bimodal,250,2.0,Mean,2.426340683925332e-08,0.011022662573336745,0.07855421344533044,1.2978504166459528,0.909694530069828,0.01608096854761243
5,Hard Bimodal,250,2.0,Std,5.781828580068013e-09,0.001349511685858822,0.019975130296079616,0.026534367655818934,2.4346760075885673e-06,0.00035050239075436136
6,Soft Trimodal,250,3.0,Mean,6.585862479369098e-06,0.1804906930758588,0.16008222772006825,2.349028199055683,0.9096946194767952,0.02840241976082325
7,Soft Trimodal,250,3.0,Std,2.1404129213144017e-06,0.02993601994089637,0.11773397629087344,0.13345605120344028,2.43349010727378e-06,0.0007550624280102705
8,Edgy trimodal,250,4.0,Mean,6.910033034657204e-08,0.018558356238077705,0.08891122038531811,1.5080456234434911,0.9096953794360161,0.01080824586097151
9,Edgy trimodal,250,4.0,Std,1.8590850004377016e-08,0.0026065558469189473,0.04928326094804191,0.08004824254318302,3.126040235121646e-06,0.00037975602519675676
