,Name,N,Model Index,Log Nu,Tau,Lambda,MSE,NRMSE
2244,Hard Bimodal,150,2,-1.0,1,0.0,6.676806330041529e-10,0.003514583062992922
2245,Hard Bimodal,150,2,-1.0,2,0.0,1.7626188508756968e-08,0.01758048750313109
2246,Hard Bimodal,150,2,-1.0,5,0.0,2.5109669877565466e-05,0.672628889070138
2247,Hard Bimodal,150,2,-1.0,10,0.0,0.01885906793177128,18.369215281779443
2248,Hard Bimodal,150,2,-0.5,1,0.0,6.082339520929736e-09,0.006463213163298876
2249,Hard Bimodal,150,2,-0.5,2,0.0,1.1928969456675986e-07,0.027172946287128855
2250,Hard Bimodal,150,2,-0.5,5,0.0,7.146241841837764e-05,0.7133465706705193
2251,Hard Bimodal,150,2,-0.5,10,0.0,0.045352693647146225,17.58244651739653
2252,Hard Bimodal,150,2,0.0,1,0.0,9.681585311227536e-08,0.01633881108004922
2253,Hard Bimodal,150,2,0.0,2,0.0,3.4702825360000134e-06,0.09902082736997601
2254,Hard Bimodal,150,2,0.0,5,0.0,0.00023894538753665984,0.8097443433836669
2255,Hard Bimodal,150,2,0.0,10,0.0,0.12251920253038406,18.00947406244445
2256,Hard Bimodal,150,2,0.5,1,0.0,2.5735316739883274e-06,0.05436824312307628
2257,Hard Bimodal,150,2,0.5,2,0.0,1.5327397704822943e-05,0.1369017194117135
2258,Hard Bimodal,150,2,0.5,5,0.0,0.0018577692098915577,1.4856055529729444
2259,Hard Bimodal,150,2,0.5,10,0.0,0.2798967957496643,18.215789920873764
2260,Soft Trimodal,150,3,-2.0,1,0.0,1.2398011506320472e-08,0.03913543716521213
2261,Soft Trimodal,150,3,-2.0,2,0.0,5.922708723460346e-08,0.08889235150723618
2262,Soft Trimodal,150,3,-2.0,5,0.0,1.915657094286871e-06,0.49468929001272854
2263,Soft Trimodal,150,3,-2.0,10,0.0,0.00022564706159755588,5.713087603441734
2264,Soft Trimodal,150,3,-1.0,1,0.0,1.0664049199249348e-07,0.04271920851222101
2265,Soft Trimodal,150,3,-1.0,2,0.0,1.379101149723283e-06,0.15020263366317269
2266,Soft Trimodal,150,3,-1.0,5,0.0,1.9265497030573897e-05,0.5598443443812612
2267,Soft Trimodal,150,3,-1.0,10,0.0,0.0015783801209181547,5.422302581021403
2268,Soft Trimodal,150,3,-0.5,1,0.0,4.507200230818853e-07,0.054569376518998874
2269,Soft Trimodal,150,3,-0.5,2,0.0,1.6837635712363408e-06,0.10615088489024832
2270,Soft Trimodal,150,3,-0.5,5,0.0,4.4019507186021656e-05,0.5379637425411488
2271,Soft Trimodal,150,3,-0.5,10,0.0,0.005353262647986412,5.99674867911429
2272,Soft Trimodal,150,3,0.0,1,0.0,6.4759287852211855e-06,0.13125657536293903
2273,Soft Trimodal,150,3,0.0,2,0.0,1.1663676559692249e-05,0.1758995029265557
2274,Soft Trimodal,150,3,0.0,5,0.0,0.00014324730727821589,0.6401959122002018
2275,Soft Trimodal,150,3,0.0,10,0.0,0.012607241980731487,5.739872513794133
2276,Soft Trimodal,150,3,0.5,1,0.0,0.00013198479427956045,0.4050676489774838
2277,Soft Trimodal,150,3,0.5,2,0.0,0.00015760883979965,0.4405313277270545
2278,Soft Trimodal,150,3,0.5,5,0.0,0.0016562819946557283,1.4288746341734555
2279,Soft Trimodal,150,3,0.5,10,0.0,0.03082055039703846,6.240796446224081
2280,Edgy trimodal,150,4,-2.0,1,0.0,3.321557473512371e-10,0.006473178212691904
2281,Edgy trimodal,150,4,-2.0,2,0.0,1.61926294595105e-07,0.14607407646514006
2282,Edgy trimodal,150,4,-2.0,5,0.0,8.266630402431474e-07,0.3287089011751998
2283,Edgy trimodal,150,4,-2.0,10,0.0,0.0007414279389195144,9.9343164490843
2284,Edgy trimodal,150,4,-1.0,1,0.0,8.590682054609999e-10,0.003902744558764516
2285,Edgy trimodal,150,4,-1.0,2,0.0,1.2880930455594353e-07,0.04783804128311089
2286,Edgy trimodal,150,4,-1.0,5,0.0,4.530928435997339e-06,0.2890665079818408
2287,Edgy trimodal,150,4,-1.0,10,0.0,0.005835830699652433,10.263688414294476
2288,Edgy trimodal,150,4,-0.5,1,0.0,1.0506196801429724e-08,0.008344378439699231
2289,Edgy trimodal,150,4,-0.5,2,0.0,4.871024472663521e-08,0.017940837979790524
2290,Edgy trimodal,150,4,-0.5,5,0.0,1.793551018636208e-05,0.3513633375821015
2291,Edgy trimodal,150,4,-0.5,10,0.0,0.015558366663753986,9.98674773437572
2292,Edgy trimodal,150,4,0.0,1,0.0,3.2525315418752143e-07,0.029038317493255073
2293,Edgy trimodal,150,4,0.0,2,0.0,7.638996635250805e-07,0.04523135176374139
2294,Edgy trimodal,150,4,0.0,5,0.0,8.590208744863048e-05,0.4627117825527984
2295,Edgy trimodal,150,4,0.0,10,0.0,0.03755740448832512,10.265982472134075
2296,Edgy trimodal,150,4,0.5,1,0.0,5.468231847771676e-06,0.08247816866233722
2297,Edgy trimodal,150,4,0.5,2,0.0,1.1547812391654588e-05,0.12007637028227985
2298,Edgy trimodal,150,4,0.5,5,0.0,0.0013715861132368445,1.3066631138438627
2299,Edgy trimodal,150,4,0.5,10,0.0,0.08490096032619476,10.214424734474772
2300,Vanilla,200,0,-2.0,1,0.0,2.164035173279899e-09,0.016785163872068794
2301,Vanilla,200,0,-2.0,2,0.0,1.700733598397619e-08,0.04718001786337575
2302,Vanilla,200,0,-2.0,5,0.0,1.5055136373121059e-06,0.4303249139594979
2303,Vanilla,200,0,-2.0,10,0.0,1.6750300346757285e-05,1.435665950896899
2304,Vanilla,200,0,-1.0,1,0.0,9.815017243397506e-09,0.012862353678650483
